t,FAPAR_mean
2020-05-10,
2020-05-12,
2020-05-15,0.16170052
2020-05-17,
2020-05-20,
2020-05-22,
2020-05-25,
2020-05-27,0.32783976
2020-05-30,0.40337488
2020-06-01,0.394794
2020-06-04,
2020-06-06,
2020-06-09,
2020-06-11,
2020-06-14,
2020-06-16,
2020-06-19,
2020-06-21,0.90374666
2020-06-24,0.8448078
2020-06-26,0.8276279
2020-06-29,0.81192696
2020-07-01,
2020-07-04,
2020-07-06,
2020-07-09,
2020-07-11,
2020-07-14,
2020-07-16,
2020-07-19,
2020-07-21,0.91184026
2020-07-24,
2020-07-26,
2020-07-29,
2020-07-31,0.8834318
2020-08-03,
2020-08-05,0.87121296
2020-08-08,0.83749366
2020-08-10,
2020-08-13,0.864866
2020-08-15,
2020-08-18,
2020-08-20,
2020-08-23,
2020-08-25,
2020-08-28,
2020-08-30,0.9039255
2020-09-02,0.37336728
2020-09-04,
2020-09-07,0.8274831
2020-09-09,
2020-09-12,0.78364027
2020-09-14,0.8465288
2020-09-17,0.8316509
2020-09-19,0.7696594
2020-09-22,0.7855591
2020-09-24,
2020-09-27,
2020-09-29,
2020-10-02,
2020-10-04,
2020-10-07,0.71584845
2020-10-09,
2020-10-12,
2020-10-14,
2020-10-17,
2020-10-19,0.82259005
2020-10-24,
2020-10-27,
2020-10-29,
2020-11-01,
2020-11-03,0.7805348
2020-11-06,0.7979656
2020-11-08,
2020-11-11,
2020-11-13,
2020-11-16,
2020-11-18,0.10191297
2020-11-21,
2020-11-23,
2020-11-26,
2020-11-28,0.078054994
2020-12-01,
2020-12-03,
2020-12-06,
2020-12-08,
2020-12-11,
2020-12-13,
2020-12-16,
2020-12-18,
2020-12-21,
2020-12-23,
2020-12-26,
2020-12-28,
2020-12-31,
2021-01-02,
2021-01-05,
2021-01-07,
2021-01-10,
2021-01-12,
2021-01-15,
2021-01-17,
2021-01-20,
2021-01-22,
2021-01-25,
2021-01-27,
2021-01-30,
2021-02-01,
2021-02-04,0.05123739
2021-02-06,
2021-02-09,
2021-02-11,
2021-02-14,
2021-02-16,
2021-02-19,
2021-02-21,0.054549564
2021-02-24,0.063056506
2021-02-26,
2021-03-01,
2021-03-03,0.089827426
2021-03-06,0.10934078
2021-03-08,0.09256235
2021-03-11,
2021-03-13,
2021-03-16,
2021-03-18,
2021-03-21,
2021-03-23,
2021-03-26,
2021-03-28,
2021-03-31,0.06491269
2021-04-02,
2021-04-05,
2021-04-07,
2021-04-10,
2021-04-12,0.12243522
2021-04-15,
2021-04-17,
2021-04-20,
2021-04-22,0.060228422
2021-04-25,0.07507706
2021-04-27,0.058041703
2021-04-30,
2021-05-02,
2021-05-05,
2021-05-07,
2021-05-10,
2021-05-12,
2021-05-15,
2021-05-17,
2021-05-20,
2021-05-22,
2021-05-25,
2021-05-27,
2021-05-30,0.7659161
2021-06-01,0.7696644
2021-06-04,
2021-06-06,
2021-06-09,
2021-06-11,0.15646979
2021-06-14,0.09941013
2021-06-16,0.06290073
2021-06-19,
2021-06-21,
2021-06-24,
2021-06-26,
2021-06-29,
2021-07-01,
2021-07-04,
2021-07-06,
2021-07-09,0.9771351
2021-07-11,
2021-07-14,
2021-07-16,
2021-07-19,0.36807057
2021-07-21,0.37955827
2021-07-24,
2021-07-26,
2021-07-29,
2021-07-31,
2021-08-03,0.24261183
2021-08-05,
2021-08-08,
2021-08-10,
2021-08-13,
2021-08-15,
2021-08-18,
2021-08-20,
2021-08-23,
2021-08-25,0.39917132
2021-08-28,
2021-08-30,
2021-09-02,0.48056802
2021-09-04,0.48875323
2021-09-07,
2021-09-09,
2021-09-12,0.78190917
2021-09-14,
2021-09-17,
2021-09-19,
2021-09-22,
2021-09-24,0.6697339
2021-09-27,
2021-09-29,
2021-10-02,
2021-10-04,
2021-10-07,
2021-10-09,0.87128437
2021-10-12,
2021-10-14,0.8256488
2021-10-17,
2021-10-19,
2021-10-22,0.8023067
2021-10-24,0.7898142
2021-10-27,
2021-10-29,0.1125435
2021-11-01,
2021-11-03,
2021-11-06,
2021-11-11,
2021-11-13,
2021-11-16,
2021-11-18,
2021-11-21,
2021-11-23,
2021-11-26,
2021-11-28,
2021-12-01,
2021-12-03,
2021-12-06,0.18355303
2021-12-08,
2021-12-11,
2021-12-16,
2021-12-18,
2021-12-21,0.22228159
2021-12-23,
2021-12-26,
2021-12-31,0.19338974
2022-01-02,
2022-01-05,
2022-01-07,
2022-01-10,
2022-01-12,
2022-01-15,0.26375458
2022-01-17,
2022-01-20,
2022-01-22,
2022-01-25,0.15957607
2022-01-27,
2022-01-30,
2022-02-01,
2022-02-04,
2022-02-06,
2022-02-09,0.22725937
2022-02-11,
2022-02-14,
2022-02-16,
2022-02-19,
2022-02-21,
2022-02-24,
2022-02-26,0.36417165
2022-03-01,
2022-03-03,0.34963813
2022-03-06,0.37339512
2022-03-08,
2022-03-11,0.32220325
2022-03-13,
2022-03-16,
2022-03-18,0.40875232
2022-03-21,0.37559858
2022-03-23,0.41851318
2022-03-26,0.45128804
2022-03-28,0.4238265
2022-03-31,
2022-04-02,
2022-04-05,
2022-04-07,
2022-04-10,
2022-04-12,
2022-04-15,0.7483739
2022-04-17,0.7662354
2022-04-20,0.8245498
2022-04-22,
2022-04-25,
2022-04-27,0.82845956
2022-04-30,
2022-05-02,0.8167751
2022-05-05,
2022-05-07,0.8599019
2022-05-10,
2022-05-12,
2022-05-15,0.85789305
2022-05-17,0.82498604
2022-05-20,
2022-05-22,0.82757217
2022-05-25,
2022-05-27,
2022-05-30,
2022-06-01,
2022-06-04,0.84165645
2022-06-06,0.2536533
2022-06-09,
2022-06-11,0.83894134
2022-06-14,
2022-06-16,0.831654
2022-06-19,
2022-06-21,
2022-06-24,
2022-06-26,
2022-06-29,0.8097596
2022-07-01,
2022-07-04,
2022-07-06,
2022-07-09,
2022-07-11,
2022-07-14,0.25912383
2022-07-16,0.26309308
2022-07-19,0.18438001
2022-07-21,
2022-07-24,0.13828804
2022-07-26,
2022-07-29,0.13413751
2022-07-31,
2022-08-03,0.18000843
2022-08-05,
2022-08-08,0.12962258
2022-08-10,0.10818178
2022-08-13,0.10707204
2022-08-15,
2022-08-18,
2022-08-20,
2022-08-23,
2022-08-25,0.062420975
2022-08-28,0.07185534
2022-08-30,
2022-09-02,0.022938164
2022-09-04,
2022-09-07,
2022-09-09,
2022-09-12,0.06106687
2022-09-14,
2022-09-17,
2022-09-19,0.09134106
2022-09-22,
2022-09-24,
2022-09-27,
2022-09-29,0.08787494
2022-10-02,
2022-10-04,0.08464757
2022-10-07,0.101029046
2022-10-09,0.09174295
2022-10-12,
2022-10-14,
2022-10-17,
2022-10-19,
2022-10-22,0.19416031
2022-10-24,
2022-10-27,
2022-10-29,
2022-11-01,0.5580713
2022-11-03,
2022-11-06,
2022-11-08,
2022-11-11,
2022-11-13,0.79118055
2022-11-16,
2022-11-18,
2022-11-21,
2022-11-23,
2022-11-26,
2022-11-28,
2022-12-01,
2022-12-03,
2022-12-06,0.10551763
2022-12-08,
2022-12-11,
2022-12-13,
2022-12-16,
2022-12-18,
2022-12-21,
2022-12-23,
2022-12-26,
2022-12-28,
2022-12-31,
2023-01-02,
2023-01-05,
2023-01-07,
2023-01-10,
2023-01-15,
2023-01-17,
2023-01-20,
2023-01-22,
2023-01-25,
2023-01-27,
2023-01-30,
2023-02-01,0.12393652
2023-02-04,
2023-02-06,
2023-02-09,
2023-02-11,
2023-02-14,0.15036213
2023-02-16,
2023-02-19,
2023-02-21,
2023-02-24,
2023-02-26,0.13158831
2023-03-01,
2023-03-03,
2023-03-06,
2023-03-08,
2023-03-11,
2023-03-13,
2023-03-16,
2023-03-18,
2023-03-21,
2023-03-23,
2023-03-26,
2023-03-28,
2023-03-31,
2023-04-02,
2023-04-05,
2023-04-07,
2023-04-10,
2023-04-12,
2023-04-15,0.79527664
2023-04-17,
2023-04-20,
2023-04-22,
2023-04-25,
2023-04-27,
2023-04-30,
2023-05-02,
2023-05-05,
2023-05-07,
2023-05-10,
2023-05-12,
2023-05-15,
2023-05-17,
2023-05-20,
2023-05-22,
2023-05-25,0.17391638
2023-05-27,0.113349274
2023-05-30,0.09406769
2023-06-01,0.11816414
