t,EVI2
2022-10-07,
2022-10-12,0.15612423
2022-10-17,
2022-10-22,0.15919478
2022-10-27,
2022-11-01,
2022-11-06,0.2427527
2022-11-11,0.2565052
2022-11-16,0.29721588
2022-11-21,
2022-11-26,
2022-12-01,
2022-12-06,
2022-12-11,
2022-12-16,
2022-12-21,0.42612338
2022-12-26,0.545984
2022-12-31,
2023-01-05,
2023-01-10,
2023-01-15,
2023-01-20,
2023-01-25,
2023-01-30,0.5637724
2023-02-04,0.57168865
2023-02-09,0.5633215
2023-02-14,0.54684633
2023-02-19,0.53385085
2023-02-24,
2023-03-01,0.54058194
2023-03-06,
2023-03-11,
2023-03-16,0.5851716
2023-03-21,
2023-03-26,0.6149057
2023-03-31,
2023-04-05,0.62193274
2023-04-10,
2023-04-15,0.7119846
2023-04-20,0.55414987
2023-04-25,
2023-04-30,
2023-05-05,
2023-05-10,
2023-05-15,
2023-05-20,
2023-05-25,
2023-05-30,
2023-06-04,
2023-06-09,
2023-06-14,
2023-06-19,
2023-06-24,0.40794024
2023-06-29,
2023-07-04,
2023-07-09,0.3443244
2023-07-14,0.3981483
2023-07-19,0.28970662
2023-07-24,
2023-07-29,
2023-08-03,0.24197957
2023-08-08,0.25071785
2023-08-13,0.20429002
2023-08-18,
2023-08-23,0.16822757
2023-08-28,
2023-09-02,
2023-09-07,0.18102945
2023-09-12,
2023-09-17,
2023-09-22,
2023-09-27,0.15937972
2023-10-02,
2023-10-07,0.15700006
2023-10-12,0.14274874
2023-10-17,
2023-10-22,
2023-10-27,
2023-11-01,
2023-11-06,0.28480163
2023-11-11,
2023-11-16,
2023-11-21,
2023-11-26,0.4373604
2023-12-01,
2023-12-06,
2023-12-11,
2023-12-16,0.4862123
2023-12-21,
2023-12-26,
2023-12-31,
2024-01-05,
2024-01-10,
2024-01-20,0.538621
2024-01-25,0.121149085
2024-01-30,
2024-02-04,
2024-02-09,
2024-02-14,0.57900476
2024-02-19,
2024-02-24,
2024-02-29,0.63588196
2024-03-05,
2024-03-10,
2024-03-15,0.68334365
2024-03-20,0.68481636
2024-03-25,
2024-03-30,
2024-04-04,0.6291657
2024-04-09,0.81861323
2024-04-14,
2024-04-19,0.52594155
2024-04-24,
2024-04-29,
2024-05-04,
2024-05-09,0.4595868
2024-05-14,
2024-05-19,
2024-05-24,
2024-05-29,
2024-06-03,
2024-06-08,
2024-06-13,0.35295376
2024-06-18,
2024-06-23,
2024-06-28,
2024-07-03,
2024-07-08,0.33221167
2024-07-13,0.30514634
2024-07-18,0.265529
2024-07-23,0.2623379
2024-07-28,0.22418056
2024-08-02,
2024-08-07,0.21083756
2024-08-12,
2024-08-17,
2024-08-22,0.25904593
2024-08-27,0.29540145
2024-09-01,
2024-09-06,
2024-09-11,
2024-09-16,
2024-09-21,
2024-09-26,
2024-10-01,
2024-10-06,0.3967902
2024-10-11,0.42883265
2024-10-16,
2024-10-21,0.43983188
2024-10-26,
2024-10-31,
2024-11-05,
2024-11-10,
2024-11-15,0.62315065
2024-11-20,
2024-11-25,0.39690095
2024-11-30,0.5752574
2024-12-05,
2024-12-10,
2024-12-15,
2024-12-20,0.59776396
2024-12-25,
2024-12-30,
