t,EVI2
2023-07-28,
2023-07-30,0.6383052
2023-08-02,
2023-08-04,0.5664286
2023-08-07,0.58180714
2023-08-09,0.59953415
2023-08-12,0.5434883
2023-08-14,
2023-08-17,
2023-08-19,0.5433864
2023-08-22,0.5093232
2023-08-24,0.53929734
2023-08-27,
2023-08-29,0.5119469
2023-09-01,0.49533978
2023-09-03,
2023-09-06,0.5273004
2023-09-08,0.5380813
2023-09-11,0.48853403
2023-09-13,
2023-09-16,
2023-09-18,
2023-09-21,
2023-09-23,
2023-09-26,0.4744407
2023-09-28,
2023-10-01,0.44348148
2023-10-03,0.4692015
2023-10-06,0.39893183
2023-10-08,0.44872212
2023-10-11,0.39877555
2023-10-13,0.41650772
2023-10-16,
2023-10-18,
2023-10-21,
2023-10-23,
2023-10-26,
2023-10-28,
2023-10-31,0.3115653
2023-11-02,
2023-11-05,0.2691462
2023-11-07,0.32801148
2023-11-10,
2023-11-12,
2023-11-15,0.25462624
2023-11-17,0.22658046
2023-11-20,0.212805
2023-11-22,0.20667379
2023-11-25,0.18277086
2023-11-27,0.18030791
2023-11-30,
2023-12-02,
2023-12-05,
2023-12-07,0.02256723
2023-12-10,0.13221927
2023-12-12,
2023-12-15,0.12523977
2023-12-17,0.06144005
2023-12-20,
2023-12-22,
2023-12-25,0.0528659
2023-12-27,
2023-12-30,0.06448518
2024-01-01,0.08985039
2024-01-04,-0.030576153
2024-01-06,
2024-01-09,
2024-01-11,0.123622805
2024-01-14,
2024-01-16,0.14938262
2024-01-19,
2024-01-21,
2024-01-24,0.16226192
2024-01-26,
2024-01-29,0.16018291
2024-01-31,0.15420324
2024-02-03,0.16334428
2024-02-05,0.1688983
2024-02-08,
2024-02-10,
2024-02-13,0.17028573
2024-02-15,
2024-02-18,
2024-02-20,0.18315291
2024-02-23,0.17068598
2024-02-25,
2024-02-28,
2024-03-01,
2024-03-04,
2024-03-06,
2024-03-09,
2024-03-11,0.18238758
2024-03-14,0.18539742
2024-03-16,0.19811478
2024-03-19,
2024-03-21,0.16284485
2024-03-24,0.19865105
2024-03-26,
2024-03-29,
2024-03-31,
2024-04-03,0.23483793
2024-04-05,0.14029028
2024-04-08,0.23484524
2024-04-10,
2024-04-13,0.34077397
2024-04-15,
2024-04-18,
2024-04-20,0.46039212
2024-04-23,
2024-04-25,0.50136536
2024-04-28,
2024-04-30,
2024-05-03,
2024-05-05,
2024-05-08,
2024-05-10,0.5957387
2024-05-13,0.5883461
2024-05-15,
2024-05-18,
2024-05-20,
2024-05-23,
2024-05-25,0.70161724
2024-05-28,0.64317966
2024-05-30,
2024-06-02,
2024-06-04,
2024-06-07,
2024-06-09,
2024-06-12,
2024-06-14,
2024-06-17,
2024-06-19,
2024-06-22,
2024-06-24,
2024-06-27,0.6337289
2024-06-29,
2024-07-02,0.6291629
2024-07-04,0.6766173
2024-07-07,
2024-07-09,
2024-07-12,
2024-07-14,0.65576154
2024-07-17,0.60837364
2024-07-19,
2024-07-22,0.6122589
2024-07-24,0.65453637
2024-07-27,0.5787283
2024-07-29,0.62022084
2024-08-01,0.5730546
2024-08-03,0.6363674
2024-08-06,0.55527735
2024-08-08,0.63967633
2024-08-11,0.54998887
2024-08-13,
2024-08-16,
2024-08-18,
2024-08-21,0.55910975
2024-08-23,0.58943105
2024-08-26,0.26544943
2024-08-28,0.60078806
2024-08-31,0.5405039
2024-09-02,
2024-09-05,
2024-09-07,
2024-09-10,0.5270405
2024-09-12,
2024-09-15,0.52252436
2024-09-17,
2024-09-20,
2024-09-22,
2024-09-25,0.42647877
2024-09-27,0.5256468
2024-09-30,
2024-10-02,0.38880718
2024-10-05,0.47566447
2024-10-07,
2024-10-10,0.44683424
2024-10-12,
2024-10-15,
2024-10-17,
2024-10-20,
2024-10-22,
2024-10-25,
2024-10-27,
2024-10-30,0.33276713
2024-11-01,0.33762863
2024-11-04,0.30126828
2024-11-06,
2024-11-09,
2024-11-11,0.30162188
2024-11-14,0.27120435
2024-11-16,0.29517677
2024-11-19,0.29304275
2024-11-21,
2024-11-24,
2024-11-26,
2024-11-29,0.21201292
2024-12-01,0.19319744
2024-12-06,0.19042563
2024-12-09,
2024-12-11,0.06278569
2024-12-14,
2024-12-16,0.03982812
2024-12-19,
2024-12-21,0.035014234
2024-12-24,0.07865047
2024-12-26,0.04043377
2024-12-29,0.06327031
