t,FAPAR_mean
2022-06-12,
2022-06-15,0.59281373
2022-06-17,
2022-06-20,
2022-06-22,
2022-06-25,0.5872608
2022-06-27,0.5976172
2022-06-30,
2022-07-02,
2022-07-05,
2022-07-07,
2022-07-10,
2022-07-12,0.6246357
2022-07-15,
2022-07-17,
2022-07-20,0.5487352
2022-07-22,
2022-07-25,
2022-07-27,
2022-07-30,
2022-08-01,
2022-08-04,0.59710425
2022-08-06,0.55063784
2022-08-09,
2022-08-11,0.5347939
2022-08-14,0.5472719
2022-08-16,0.3517597
2022-08-19,0.5074555
2022-08-21,
2022-08-24,
2022-08-26,0.3487331
2022-08-29,
2022-08-31,
2022-09-03,
2022-09-05,0.49077758
2022-09-08,0.50746703
2022-09-10,
2022-09-13,
2022-09-15,
2022-09-18,
2022-09-20,
2022-09-23,
2022-09-25,
2022-09-28,
2022-09-30,
2022-10-03,
2022-10-05,
2022-10-08,0.39089054
2022-10-10,0.3310408
2022-10-13,
2022-10-15,
2022-10-18,
2022-10-20,0.47427037
2022-10-23,0.4631535
2022-10-25,
2022-10-28,
2022-10-30,0.43630633
2022-11-02,
2022-11-04,
2022-11-09,
2022-11-12,0.38387406
2022-11-14,
2022-11-17,0.15255944
2022-11-19,
2022-11-22,
2022-11-24,
2022-11-27,
2022-11-29,
2022-12-02,
2022-12-09,
2022-12-19,
2022-12-22,
2022-12-29,
2023-01-01,
2023-01-08,
2023-01-11,
2023-01-13,
2023-01-16,
2023-01-18,
2023-01-21,
2023-01-23,
2023-01-26,0.35922575
2023-01-28,0.11224622
2023-01-31,0.34384823
2023-02-02,
2023-02-05,
2023-02-07,
2023-02-10,0.35145786
2023-02-12,
2023-02-15,
2023-02-17,
2023-02-20,
2023-02-22,
2023-02-25,
2023-02-27,
2023-03-02,
2023-03-07,
2023-03-09,
2023-03-12,
2023-03-14,
2023-03-17,
2023-03-19,0.17676605
2023-03-22,
2023-03-24,
2023-03-27,
2023-03-29,
2023-04-01,
2023-04-03,
2023-04-06,
2023-04-08,
2023-04-11,
2023-04-13,
2023-04-16,0.2906723
2023-04-18,
2023-04-21,0.26536766
2023-04-23,0.15718675
2023-04-26,
2023-04-28,
2023-05-01,
2023-05-03,
2023-05-06,0.25057635
2023-05-08,0.23190711
2023-05-11,0.22699665
2023-05-13,0.20603046
2023-05-16,
2023-05-18,0.22276017
2023-05-21,0.20857425
2023-05-23,
2023-05-26,0.21698104
2023-05-28,
2023-05-31,
2023-06-02,0.20830056
2023-06-05,0.2183729
2023-06-07,0.20465037
2023-06-10,0.2208933
2023-06-12,0.20039102
2023-06-15,
2023-06-17,0.19251238
2023-06-20,
2023-06-22,0.2444581
2023-06-25,0.21454608
2023-06-27,0.11370287
2023-06-30,
2023-07-02,
2023-07-05,
2023-07-07,
2023-07-10,0.2150025
2023-07-12,
2023-07-15,0.21164607
2023-07-17,
2023-07-20,
2023-07-22,
2023-07-25,
2023-07-27,0.29012316
2023-07-30,
2023-08-01,
2023-08-04,
2023-08-06,
2023-08-09,
2023-08-11,
2023-08-14,
2023-08-16,0.22742777
2023-08-19,
2023-08-21,
2023-08-24,0.14432457
2023-08-26,
2023-08-29,0.29659316
2023-08-31,
