t,LAI_mean
2020-05-17,5.256705
2020-05-20,4.2635407
2020-05-22,
2020-05-25,3.5077872
2020-05-27,
2020-05-30,2.6836183
2020-06-01,2.5066175
2020-06-04,
2020-06-06,
2020-06-09,
2020-06-11,
2020-06-14,
2020-06-16,3.5961392
2020-06-19,
2020-06-21,3.4838793
2020-06-24,3.154287
2020-06-26,2.9460297
2020-06-29,
2020-07-01,
2020-07-04,
2020-07-06,
2020-07-09,
2020-07-11,
2020-07-14,
2020-07-16,
2020-07-19,
2020-07-21,1.7451657
2020-07-24,
2020-07-26,
2020-07-29,1.3491429
2020-07-31,1.3118579
2020-08-03,0.75655437
2020-08-05,1.0988905
2020-08-08,0.83096063
2020-08-10,
2020-08-13,
2020-08-15,
2020-08-18,
2020-08-20,
2020-08-23,
2020-08-25,
2020-08-28,
2020-08-30,2.09938
2020-09-02,1.437699
2020-09-04,
2020-09-07,2.5599942
2020-09-09,
2020-09-12,2.3033175
2020-09-14,1.9867299
2020-09-17,1.6333514
2020-09-19,
2020-09-22,1.0928887
2020-09-24,
2020-09-27,
2020-09-29,
2020-10-02,
2020-10-04,
2020-10-07,
2020-10-09,
2020-10-12,
2020-10-14,
2020-10-17,
2020-10-19,2.909705
2020-10-24,
2020-10-27,
2020-10-29,
2020-11-01,
2020-11-03,
2020-11-06,3.5142329
2020-11-08,
2020-11-11,
2020-11-13,
2020-11-16,
2020-11-18,3.528594
2020-11-21,
2020-11-23,
2020-11-26,
2020-11-28,2.5997095
2020-12-01,
2020-12-03,
2020-12-06,
2020-12-08,
2020-12-11,
2020-12-13,1.4613388
2020-12-16,
2020-12-18,2.8334503
2020-12-21,
2020-12-23,
2020-12-26,
2020-12-28,
2020-12-31,
2021-01-02,
2021-01-05,
2021-01-07,
2021-01-10,
2021-01-12,
2021-01-15,
2021-01-17,
2021-01-20,
2021-01-22,
2021-01-25,
2021-01-27,
2021-01-30,
2021-02-01,
2021-02-04,
2021-02-06,
2021-02-09,
2021-02-11,
2021-02-14,
2021-02-16,
2021-02-19,
2021-02-21,
2021-02-24,2.2617586
2021-02-26,
2021-03-01,3.9306757
2021-03-03,
2021-03-06,4.046198
2021-03-08,2.084036
2021-03-11,
2021-03-13,
2021-03-16,
2021-03-18,
2021-03-21,
2021-03-23,
2021-03-26,
2021-03-28,
2021-03-31,4.8472548
2021-04-02,
2021-04-05,
2021-04-07,
2021-04-10,
2021-04-12,
2021-04-15,
2021-04-17,
2021-04-20,
2021-04-22,
2021-04-25,5.411624
2021-04-27,5.5119576
2021-04-30,
2021-05-02,
2021-05-05,
2021-05-07,
2021-05-10,
2021-05-12,
2021-05-15,
2021-05-17,
2021-05-20,
2021-05-22,
2021-05-25,
2021-05-27,
2021-05-30,4.208128
2021-06-01,4.387418
2021-06-04,
2021-06-06,
2021-06-09,
2021-06-11,3.3019
2021-06-14,3.2504327
2021-06-16,3.0811806
2021-06-19,2.9839497
2021-06-21,
2021-06-24,
2021-06-26,
2021-06-29,
2021-07-01,
2021-07-04,
2021-07-06,
2021-07-09,
2021-07-11,
2021-07-14,
2021-07-16,
2021-07-19,2.2623003
2021-07-21,2.3246484
2021-07-24,
2021-07-26,
2021-07-29,2.68768
2021-07-31,
2021-08-03,
2021-08-05,
2021-08-08,
2021-08-10,
2021-08-13,
2021-08-15,
2021-08-18,
2021-08-20,
2021-08-23,
2021-08-25,2.6199913
2021-08-28,
2021-08-30,
2021-09-02,3.168609
2021-09-04,3.2414644
2021-09-07,
2021-09-09,
2021-09-12,
2021-09-14,
2021-09-17,4.065648
2021-09-19,
2021-09-22,
2021-09-24,
2021-09-27,
2021-09-29,5.0452924
2021-10-02,
2021-10-04,
2021-10-07,
2021-10-09,3.8693473
2021-10-12,
2021-10-14,3.2645614
2021-10-17,
2021-10-19,
2021-10-22,
2021-10-24,3.473245
2021-10-27,
2021-10-29,2.525423
2021-11-01,2.3486912
2021-11-03,
2021-11-06,
2021-11-11,0.55726415
2021-11-13,
2021-11-16,
2021-11-18,
2021-11-21,
2021-11-23,0.49397692
2021-11-26,
2021-11-28,
2021-12-01,
2021-12-03,
2021-12-06,2.7719975
2021-12-08,2.0287292
2021-12-11,
2021-12-16,
2021-12-18,
2021-12-21,2.4127998
2021-12-23,
2021-12-26,
2021-12-31,
2022-01-02,
2022-01-05,
2022-01-07,
2022-01-10,
2022-01-12,
2022-01-15,2.7468364
2022-01-17,
2022-01-20,
2022-01-22,
2022-01-25,2.3201883
2022-01-27,
2022-01-30,
2022-02-01,
2022-02-04,
2022-02-06,
2022-02-09,2.6629512
2022-02-11,
2022-02-14,
2022-02-16,
2022-02-19,
2022-02-21,
2022-02-24,
2022-02-26,3.0985656
2022-03-01,
2022-03-03,2.999247
2022-03-06,3.2592826
2022-03-08,3.315242
2022-03-11,3.0153744
2022-03-13,
2022-03-16,
2022-03-18,3.4765732
2022-03-21,3.106489
2022-03-23,3.6245263
2022-03-26,3.6757395
2022-03-28,
2022-03-31,
2022-04-02,
2022-04-05,
2022-04-07,
2022-04-10,
2022-04-12,
2022-04-15,5.856509
2022-04-17,5.711475
2022-04-20,5.636513
2022-04-22,
2022-04-25,6.9504185
2022-04-27,6.0273886
2022-04-30,
2022-05-02,4.985156
2022-05-05,
2022-05-07,
2022-05-10,
2022-05-12,
2022-05-15,4.410474
2022-05-17,3.8759239
2022-05-20,
2022-05-22,2.8787944
2022-05-25,
2022-05-27,
2022-05-30,
2022-06-01,2.602821
2022-06-04,
2022-06-06,2.2424207
2022-06-09,
2022-06-11,
2022-06-14,2.594656
2022-06-16,2.9347408
2022-06-19,
2022-06-21,
2022-06-24,
2022-06-26,
2022-06-29,
2022-07-01,
2022-07-04,2.4449677
2022-07-06,
2022-07-09,
2022-07-11,
2022-07-14,1.1883564
2022-07-16,
2022-07-19,1.5345135
2022-07-21,
2022-07-24,1.17247
2022-07-26,
2022-07-29,0.95180786
2022-07-31,
2022-08-03,0.7658478
2022-08-05,
2022-08-08,0.6604499
2022-08-10,0.58593726
2022-08-13,0.50799954
2022-08-15,
2022-08-18,9.455521
2022-08-20,
2022-08-23,
2022-08-25,0.47376257
2022-08-28,0.29417822
2022-08-30,
2022-09-02,0.4501443
2022-09-04,
2022-09-07,
2022-09-09,
2022-09-12,1.1420996
2022-09-14,
2022-09-17,
2022-09-19,
2022-09-22,2.9301052
2022-09-24,
2022-09-27,
2022-09-29,
2022-10-02,
2022-10-04,3.9513829
2022-10-07,3.709356
2022-10-09,4.459916
2022-10-12,
2022-10-14,
2022-10-17,
2022-10-19,
2022-10-22,
2022-10-24,
2022-10-27,
2022-10-29,
2022-11-01,6.705284
2022-11-03,
2022-11-06,
2022-11-08,
2022-11-11,
2022-11-13,5.2649055
2022-11-16,
2022-11-18,
2022-11-21,
2022-11-23,
2022-11-26,
2022-11-28,
2022-12-01,
2022-12-03,
2022-12-06,
2022-12-08,
2022-12-11,
2022-12-13,1.1913768
2022-12-16,
2022-12-18,
2022-12-21,
2022-12-23,
2022-12-26,
2022-12-28,
2022-12-31,
2023-01-02,
2023-01-05,
2023-01-07,
2023-01-10,
2023-01-12,
2023-01-15,
2023-01-17,3.5324764
2023-01-20,
2023-01-22,
2023-01-25,
2023-01-27,
2023-01-30,
2023-02-01,
2023-02-04,
2023-02-06,
2023-02-09,
2023-02-11,
2023-02-14,3.1258216
2023-02-16,
2023-02-19,
2023-02-21,1.8721641
2023-02-24,
2023-02-26,
2023-03-01,3.364863
2023-03-03,
2023-03-06,
2023-03-08,
2023-03-11,
2023-03-13,
2023-03-16,3.7395537
2023-03-18,
2023-03-21,
2023-03-23,
2023-03-26,
2023-03-28,
2023-03-31,
2023-04-02,
2023-04-05,4.9673324
2023-04-07,
2023-04-10,
2023-04-12,
2023-04-15,5.6826053
2023-04-17,
2023-04-20,
2023-04-22,
2023-04-25,
2023-04-27,
2023-04-30,
2023-05-02,
2023-05-05,
2023-05-07,
2023-05-10,
2023-05-12,
2023-05-15,
2023-05-17,
2023-05-20,
2023-05-22,
2023-05-25,
2023-05-27,
2023-05-30,3.2725914
2023-06-01,3.5034606
2023-06-04,3.3365731
2023-06-06,3.5484164
2023-06-09,
2023-06-11,
2023-06-14,2.2683125
2023-06-16,2.590458
2023-06-19,
2023-06-21,1.9958795
2023-06-24,1.9112312
2023-06-26,
